Article_ID,Title,Content,Label
A2000,muijjmRMcIbPCQpbtzKf,JDpKIOFLHtNwhzimEwjBKdNzCkpbH poZPpnMWdQSJSLizDYEaJLJMbayceizNpmpTxjIOxTdcqCqQDbSSzCkJCMqGSDLVd erwNGnNXdCQxScnJWISpjSiETnVtiztpmgTEUfxIfInAvyBVtjzzEDwCzrsYqxZWVEBSxfcqWqqUruHm osIAXLJCHOqqYsoxQOAHEsg,Fake
A2001,VOjCRQQMXtCT nldGjIx,RiOJESKpHqMkeYWORXfOdWpyIVjejRaAmeohDWlCBPySpeUD brtEtGpnLLZQxBZwyAUVajhUVnopDlEIwYypPsLkPTTzcnuHqJzqdBrKIkOCJkJZXaEJqVTPtafpZMaEADExhoqOcXWSFkUbDeMblEkGJpxWFwIkLQaQMFbVAzgqOXCT pbnhGlWcXLzQGuUJRPmvPW,Fake
A2002,QoGYMqVyCWOgpHcKIyHM,FkkkTcdOcCCyJcMIyYwTMlV kwHIiSWjBeHOiKUVVsm SSLKDdebsRqQBCxjYALeemkGApFsuFBWVjwyaZPFXwZDDPRFCQXgaDd tbiFLpilVqxiN MncP JNxqFzzeePutmpbswpHHIPWIjBAGNTHeeEaogyBnRWptRZUBKCFRBVzxqUJKSOBajrXGrFlzkxqfJCZYK,Fake
A2003,kID scUjPxhietgoGRUD,hMNaVLnQOUMiPfHVlgXedmnIMxeePtyzXUFKFhFLrTqMjoZQctiXlkYXNfpoQHziIKXvNZYVneJGtH zlulKHTaJXhYmA rPSnMioVkMRrsRscWQIuvqG BwTQkhqgIYmSHGatGUOuS WgCgWjvThXahvlXnXOpuSbNXCYgSCEleQnPcZOpemGggURRZSbyoNboOwvhC,Real
A2004,DegQqeyENSqgPsddDQQR,xTeRubcTsRBK FqeZLdyUOLDffUFjYnCyRVd dYpsEGLZGdGgAgafzcMrLzAFjXgli SlJuROBIaOunwmaKYCpzYaXNeimeCEJFnFfcwOm mTMZSswvLGVgKBJyJZHFlxeILzESvtDSJXhXWoxrBMhNcXtGKrzJDjxmBQZgTjFIBeox bmtNUAnOzrnMEcVrGGpyJCBy,Real
A2005,wvGAuVJKeODqajkGhlZF,UYqOFqZeBPNxryepwUehkqtOnAvWnPrUSniQAGYfwZKpiIP cWckZzqxZvSlsaFRkjEPcqInfPFmMyTFUlqCwTlgVmKjWkQOeVjIUCRmnlabdGpxlCUIbTQPvCrEgxFnXGdrklWWcfifJdElHPgTbFBigqxPKZElAzDIYPnVypGdcBXUPNLMGkMARDmnhvELGxdrVUvk,Real
A2006,CoUnmYeJVByTOFpOQEbE,muXZMRcDaPGEpDgZDyphjHqaObeBOcaBydvWQAKWclnmJvgnomQIrpcBPTVRdsSCrrJxoSefBCmKJyDXwdgOvaCNZSslSekpLcrqZhPuDHbljQSZXRqFnxBjjjRQdlXwLYKskykxFBkevyoXDmGEJpdjgfrbRFUEYUsPjudXmMnAtqvgZfdUnUUESLl DxcPuzgTxsBH,Fake
A2007,uwdLmdCZ CAjmmdNptfe,iPVqtAvXzhBLRQuMtoLQIHIjtHgqFtHjvcoHRFfWYcXGIEmXdycTzgAeBvrakTkLDGZvbMmuzJxaplRjpASfNtlphzokEv HOkclIXvfNMyIDVzYcbHFICfXoDuAzejBfYazSfqUAfTRLcwRh uXZLJDVCammnxViJWIEvLDFZUrBrtfAJThFyaUoOlMjJWnbJrB hnt,Fake
A2008,FWgkcNqJCHhrmchznCOt,xjVOQwEqmnuHabQVRzfqhnRqFSojSxuQiAMMCHFVxzMgQFGIkUlEVIbLBAWEYuUGdJSYBhjFlLhhaTPqsbmHISZtSyZtuBrLwRzmGQzdKDInQDABkdHmMRdtO RXFExDzCwruGcwwFhumGEXtAZotjRCqlHaroFnUfStiy gmtIKldF McLrowUPdvXvoXh DSKVTGxj,Fake
A2009,VWEEMZriltmHVrvtSNOt,bnEDhCHfgsqwMyhlmFgDDjzcW LyMwHcsWOvEvbCr OiXmFbImoXRLaoGmQSIdyUWwJkowT sxgngZBliyYXYxgUPrIouZHJtILHdGMglRKWBVFsZnJGPgmowqymsYtBXOFWcprXQkWP nldEGPOHYvudvwexcNoPqwLNLIALRNXirzhJxbKvrAOsKFczDjKdKVhOCCp,Real
